Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
22/09/2000;5,9;8,8;0;31,4;22,08;16;66,5;31;3,1
23/09/2000;4,9;2,7;0;27,2;21,72;17;72,5;55;2,1
24/09/2000;3;9,6;0;33;24,36;17;49,75;27;2,166667
25/09/2000;5,8;0;0;24,4;18,28;16;91,25;51;2,4
26/09/2000;0,7;0;4,7;18;15,4;13,6;85,5;78;2
27/09/2000;0,9;0;1,4;18,6;16,08;12,8;77,25;64;2,633333
28/09/2000;2,2;0,9;0;22,8;19,32;15;62;52;2,333333
29/09/2000;3,8;8;0;27,6;19,84;13,6;69,25;41;0,433333
30/09/2000;3,4;8,3;0;28,2;20,32;14,6;76;49;3,4
01/10/2000;3;3,3;0;26,6;20,04;14,6;79,25;54;0,766667
02/10/2000;2,6;8,4;0;32,2;23,88;17,6;52,5;31;0,966667
03/10/2000;3,7;10,2;0;33,6;24,68;15,8;53,75;29;1,333333
04/10/2000;5,1;7,4;0;34,2;24,32;18;68;32;1,7
05/10/2000;5;2,5;2,8;27,6;21,68;19,6;85,25;63;2,533333
06/10/2000;1,7;1,9;11,2;27,2;21,52;18;83,5;63;1,933333
07/10/2000;2,3;0,3;2,2;24,4;20,76;18,2;77,5;63;2,4
08/10/2000;2,1;0;0;23,2;20;17,6;86,25;71;1,433333
09/10/2000;1,3;0,4;0,5;26,4;21,88;18;79;60;1,033333
10/10/2000;2,4;6,6;0;30,2;23,08;17;72,25;47;1,433333
11/10/2000;3,8;7,7;0;32,4;24,48;18,4;67,5;43;2,2
12/10/2000;5;7,9;0;34,2;25,84;19;56,25;32;0,533333
13/10/2000;5;10,3;0;32,4;24,84;17,4;59,75;41;2,6
14/10/2000;5,8;9;0;34,2;24,24;18;68,75;31;2,2
15/10/2000;5,4;5,1;0;30,2;24,24;20,2;68,25;44;2,833333
16/10/2000;4,7;4,3;0;30;25,04;21;67,25;49;2,733333
17/10/2000;4,1;8,8;0;33,2;24,56;19;64,5;44;0
18/10/2000;4,2;8,6;0;34,6;26,44;19;53,75;31;0,433333
19/10/2000;5;9,6;0;33;25,52;19,6;69,5;39;1,866667
20/10/2000;5,2;0,1;0;26,8;24,12;21,8;73;70;0,5
21/10/2000;1,8;8,6;0;32,8;24,84;19;67,5;40;2,433333
22/10/2000;4,6;6,2;0;33;25,84;21;68,75;47;1,7
23/10/2000;3,9;6;0;34,6;24,76;21;73;42;1,633333
24/10/2000;4,4;5,8;28,2;32;24,84;18,8;70,5;41;1,866667
25/10/2000;4,1;6,9;0;32,2;25,44;22;72,25;45;3,133333
26/10/2000;4;9,4;0;32,4;25,4;20,4;63,5;39;2,066667
27/10/2000;5,6;8,2;0;33;25,72;19;51,25;36;1,533333
28/10/2000;5,5;0,3;0;26,2;20,04;17;94,75;53;1,633333
29/10/2000;0,9;1,5;14,5;23;19,2;16,8;80,75;70;2,433333
30/10/2000;2,7;0,8;0,2;24;20,56;16,2;68,5;62;2,4
31/10/2000;3,1;6,8;0;28,6;22,92;18;69,5;48;1,9
01/11/2000;4;7,4;0;29,4;22,8;17,8;70,25;44;1,833333
02/11/2000;5,6;9,9;0;31;24,96;19,2;54,25;41;0,966667
03/11/2000;5,3;7,7;0;33,4;24,16;18;72,75;36;0
04/11/2000;3,2;2,3;4,2;27,8;23,16;20;76,75;57;1,533333
05/11/2000;3,5;0,9;0;29,2;23,36;20;82,25;58;0,866667
06/11/2000;1,7;1,5;23;28;23,56;21;82,25;73;1,933333
07/11/2000;2,5;0;4;24,4;21,6;20,2;82,75;80;1
08/11/2000;1,6;9,6;3,4;26,6;21,56;17,6;67;40;3,033333
09/11/2000;5;8,6;0;29,4;23,64;18;55,25;41;1,266667
10/11/2000;4,8;8,8;0;31,2;23,56;18;69;34;0,666667
11/11/2000;3;7,1;2,7;29,4;24,24;20,6;80,25;80;1,6
12/11/2000;2,8;0,1;3,6;26,8;23,2;20;86;79;0,933333
13/11/2000;1,6;0,3;1;28;24,36;20,2;85;74;0
14/11/2000;1;0;3,2;26;22,08;20,4;89,5;79;0
15/11/2000;0,9;3,9;58,4;25,6;21,24;18;72,25;60;2,766667
16/11/2000;3,5;5,8;0;27,4;22,72;18,6;66,5;47;2,833333
17/11/2000;5;6,2;0;28;23,32;19;68,5;53;3,166667
18/11/2000;3,4;0;4,2;24,2;20,2;19;89,75;78;1,966667
19/11/2000;1,4;0;42;22,2;19,8;17,4;93,25;90;0,866667
20/11/2000;1,2;5,5;4,8;28;22,48;18;74,5;47;0,666667
21/11/2000;2,7;2,9;0,1;27;22,2;18,8;86,5;73;1,533333
22/11/2000;0,8;1,8;52,2;28,6;23,12;19,6;82;63;0,866667
23/11/2000;2,5;3;0;28,8;23,44;19,2;83,75;70;1,6
24/11/2000;1,8;7,3;0,1;32,6;25,68;20,6;59,75;39;1,866667
25/11/2000;4,5;9,4;0;33;25,44;19,6;64;33;2,4
26/11/2000;4,3;0,5;10,7;25;22,36;19,6;87,5;76;0,866667
27/11/2000;1,3;4,4;1,2;30;22,64;20;81;52;0,433333
28/11/2000;1,5;4,5;4,2;30;23,58;19;80,25;54;1,666667
29/11/2000;2,2;4,1;0;30,2;23,96;20,2;79,5;56;0,866667
30/11/2000;2,5;2,8;2,2;30,4;22,88;18,4;83,5;51;0,433333
01/12/2000;1,9;0,9;58,3;27,2;22,4;20,6;91,75;89;2,4
02/12/2000;1,4;4;25,5;26,6;22,68;19;75,25;58;2,066667
03/12/2000;2,7;3,4;0,1;29,2;22,64;19,8;87,75;69;0,6
04/12/2000;1,7;1,2;21,6;27,4;22,88;19,8;93,25;88;1,2
05/12/2000;0,8;2;7,8;27;22,6;20;92,75;85;3,033333
06/12/2000;1,5;4,9;26,3;27,4;22,28;19,8;73,5;57;2,833333
07/12/2000;2,4;2,2;0;27,2;23,16;18,2;67,75;50;2
08/12/2000;4,2;9,2;0;30,4;24,84;19,6;64,5;44;1,333333
09/12/2000;4,6;11,7;0;33,2;26;19,4;56,25;35;0,533333
10/12/2000;5;1;0;27,2;23,8;21;77,25;60;1,5
11/12/2000;2;7,6;8,5;30,2;24,36;19;71,75;49;1,866667
